renewable,technology,thermal_reduction_mwh_per_mwh,standard_error,ci_low,ci_high
wind,combined_cycle,0.36904244341193326,0.020812350760306346,0.3282502359217328,0.4098346509021337
wind,gas_turbine,0.08007595236724296,0.006410642419153055,0.06751109322570298,0.09264081150878295
wind,steam_turbine,0.030757129268153306,0.006601464527464869,0.017818258794322164,0.043695999741984445
wind,diesel_engine,0.026658648147322942,0.0025543557474394137,0.02165211088234169,0.03166518541230419
solar,combined_cycle,0.2562326468743438,0.03374832425147754,0.1900859313414478,0.32237936240723974
solar,gas_turbine,0.05650769945509143,0.014849595183142208,0.027402492896132703,0.08561290601405017
solar,steam_turbine,0.023911071257529726,0.009986444448023385,0.0043376401394038915,0.04348450237565556
solar,diesel_engine,0.04425125752874144,0.0057842870592130355,0.03291405489268389,0.05558846016479899
