year,top_n_demand_hours,mean_load_mwh,mean_net_load_mwh,mean_thermal_mwh,mean_wind_mwh,mean_solar_mwh,mean_large_hydro_mwh,mean_nuclear_mwh,mean_other_renewables_mwh,mean_net_imports_mwh,mean_wind_solar_share_of_load,mean_thermal_share_of_load,first_hour,last_hour
2023,10,26382.922100000,24347.429400000,15648.895700000,1157.749900000,877.742800000,6599.420400000,922.744000000,243.224100000,2062.319200000,0.077151905,0.593144900,2023-02-10 14:00:00,2023-03-13 16:00:00
2023,50,25442.986280000,23206.103600000,14919.216800000,1324.745020000,912.137660000,6572.852620000,863.965700000,243.034660000,1723.823540000,0.087917458,0.586378369,2023-01-17 14:00:00,2023-03-17 16:00:00
2023,100,24956.137060000,22818.576390000,14650.144390000,1265.602530000,871.958140000,6571.546030000,828.804390000,245.380060000,1614.993240000,0.085652706,0.587035740,2023-01-09 15:00:00,2023-03-17 16:00:00
2024,10,26879.709700000,24348.057300000,15455.274600000,1535.103400000,996.549000000,6098.131700000,1283.068900000,360.158000000,2328.312500000,0.094184514,0.574979223,2024-02-01 13:00:00,2024-02-07 14:00:00
2024,50,25502.133940000,23239.995740000,14556.681860000,1526.391880000,735.746320000,6158.128160000,1357.010860000,345.627100000,1784.607180000,0.088703879,0.570802502,2024-01-30 13:00:00,2024-07-11 21:00:00
2024,100,24658.269180000,22572.028210000,14149.752520000,1463.053470000,623.187500000,5994.541720000,1394.049480000,343.350710000,1591.330400000,0.084606140,0.573833971,2024-01-29 14:00:00,2024-07-12 21:00:00
2025,10,27117.590300000,23601.624900000,15973.681500000,2190.969300000,1324.996100000,5782.448000000,1216.703400000,334.563800000,1387.628800000,0.129656262,0.589052395,2025-02-10 13:00:00,2025-03-07 15:00:00
2025,50,26041.719300000,22957.101820000,15258.819520000,2116.880720000,967.736760000,5870.826100000,1095.112040000,317.259940000,1454.483260000,0.118449072,0.585937485,2025-01-15 14:00:00,2025-12-30 16:00:00
2025,100,25341.069370000,22413.471780000,14832.834640000,2033.993700000,893.603890000,5840.732030000,1111.887220000,318.333330000,1318.696830000,0.115527784,0.585327889,2025-01-15 13:00:00,2025-12-31 15:00:00
