year,comahue,salto_grande,yacyreta,rest,large_hydro_total
2018,10824.232023999999,4379.1914369999995,18993.338189000002,5754.891940000001,39951.65359
2019,9594.308600000002,4709.2964,16077.7886,4988.7644999999975,35370.1581
2020,9440.902199999999,2534.4111000000007,13192.999999999998,3924.7172999999966,29093.030599999995
2021,6920.175575,2780.6296640000005,11058.583978000002,3356.844890000004,24116.234107000007
2022,7692.709388,3798.3457209999997,14132.681004999999,4562.588662000002,30186.324776
2023,12770.437489999998,3189.5769,18033.434218,5338.367148,39331.815755999996
2024,11456.951248000001,5346.268544,10964.503948,5656.316845999998,33424.040586
2025,7920.0,4180.0,13022.0,5022.1563559999995,30144.156356
