plant,start_argentina_gwh,end_argentina_gwh,start_physical_gwh,end_physical_gwh,start_argentina_share,end_argentina_share,production_effect_gwh,allocation_effect_gwh,observed_change_gwh,residual_gwh
Yacyretá,18993.338189,13022.151137,19469.989938000002,16101.470252,0.9755186443075806,0.8087554076238778,-3005.181134575055,-2966.005917424942,-5971.1870519999975,-9.094947017729282e-13
Salto Grande,4379.1914369999995,4180.175886999999,8208.114948,7974.661162,0.5335197502402228,0.5241822570366907,-123.46226902929754,-75.55328097070296,-199.01555000000008,4.263256414560601e-13
