scenario,scenario_origin_version,year,datetime,load_gwh,load_weighted_temperature_c,load_weighted_cooling_excess_hourly_c,load_weighted_heating_excess_hourly_c
ba_province_centroid_proxy,v0.8.0,2023,2023-03-13 15:00:00,26.917728000000,33.528087057000,11.618702044000,0.000000000000
ba_province_centroid_proxy,v0.8.0,2024,2024-02-01 14:00:00,27.433109000000,38.260828237000,16.300074084000,0.000000000000
ba_province_centroid_proxy,v0.8.0,2025,2025-02-10 15:00:00,28.094060000000,38.815116744000,16.963022959000,0.000000000000
caba_point_proxy_extreme,v0.8.1,2023,2023-03-13 15:00:00,26.917728000000,35.453894248000,13.544509234000,0.000000000000
caba_point_proxy_extreme,v0.8.1,2024,2024-02-01 14:00:00,27.433109000000,38.192049408000,16.231295256000,0.000000000000
caba_point_proxy_extreme,v0.8.1,2025,2025-02-10 15:00:00,28.094060000000,37.596748930000,15.744655145000,0.000000000000
caba80_ba_interior20_proxy,v0.8.1,2023,2023-03-13 15:00:00,26.917728000000,35.068732810000,13.159347796000,0.000000000000
caba80_ba_interior20_proxy,v0.8.1,2024,2024-02-01 14:00:00,27.433109000000,38.205805174000,16.245051021000,0.000000000000
caba80_ba_interior20_proxy,v0.8.1,2025,2025-02-10 15:00:00,28.094060000000,37.840422492000,15.988328708000,0.000000000000
