effect,value
emission_factor,0.052445779195630954
specific_fuel_consumption,-1.5834504492738812
fuel_mix,-1.4668910858783206
thermal_share,-6.963403347346518
activity,1.3685842757078621
total_effect,-8.592714827595227
observed_change,-8.592714827595223
residual,-3.552713678800501e-15
