gid,name,full_name,technology_label,fun,ppc,original_source,longitude,latitude
1995,Las Ovejas,Central Eléctrica Las Ovejas,Central Eléctrica,6.000000000000000,7.000000000000000,MINEM,-70.74912299999994,-36.98798799999997
1996,Varvarco,Central Eléctrica Varvarco,Central Eléctrica,-1.000000000000000,7.000000000000000,IGN01/MINEM,-70.67715499999997,-36.84649399999995
1999,Las Coloradas,Central Térmica Las Coloradas,Central Térmica,6.000000000000000,7.000000000000000,IGN04/Secretaía de Energía de la Nación,-70.59652284499998,-39.55723898399998
2000,Rincón de los Sauces,Central Térmica Rincón de los Sauces,Central Térmica,6.000000000000000,7.000000000000000,IGN01/IGN04/IGN Dirección de Geografía,-68.90013551199996,-37.41021882599995
2002,Piedras Negras,Central Térmica Piedras Negras,Central Térmica,6.000000000000000,7.000000000000000,IGN01,-68.33602710899999,-37.615670782999985
2004,El Portón,Central Térmica El Portón,Central Térmica,6.000000000000000,7.000000000000000,IGN01,-69.65498348499995,-37.15933152599996
2005,Buta Ranqui,Central Térmica Buta Ranquil,Central Térmica,6.000000000000000,7.000000000000000,IGN04/Secretaría de Energía de la Nación,-69.87803211899995,-37.05024913899996
2006,El Manzano,Central Térmica El Manzano,Central Térmica,6.000000000000000,7.000000000000000,IGN04/Secretaría de Energía de la Nación,-69.75869261999998,-36.10652998899997
2007,El Alambrado,Central Térmica El Alambrado,Central Térmica,6.000000000000000,7.000000000000000,IGN04/Secretaría de Energía de la Nación,-69.85842909899998,-36.26986145799998
2010,,,,-1.000000000000000,-1.000000000000000,Esri-World_Imagery,-68.57805184699998,-38.34691328899993
