alma_id,alma_name,latitude,longitude,voltage_kv,region,coordinate_status
479.0,SAN JAVIER S.FE,-30.58213361,-59.94366115,132,LITORAL,VALID
76.0,CALCHAQUI EPESF,-29.8921699,-60.27813222,132,LITORAL,VALID
503.0,SANTA FE OESTE,-31.63858177,-60.73506552,132,LITORAL,VALID
502.0,SANTA FE NORTE,-31.59013345,-60.69283411,132,LITORAL,VALID
629.0,SANTA FE CENTRO,-31.63422389,-60.70392182,132,LITORAL,VALID
78.0,CALCHINES,-31.64386489,-60.68918361,132,LITORAL,VALID
4914.0,PUERTO S.FE,-31.65661035,-60.70480112,132,LITORAL,VALID
434.0,RECONQUISTA S.FE,-29.1477383222296,-59.6748589586135,132,LITORAL,VALID
5199.0,AVELLANEDA S.FE,-29.1269173367831,-59.6317948980611,132,LITORAL,VALID
5142.0,CHAPERO,-29.1600550401765,-59.6445133828507,132,LITORAL,VALID
5363.0,VILLA OCAMPO SUR,-28.5159648078182,-59.3450272291623,132,LITORAL,VALID
568.0,VILLA OCAMPO,-28.503147544246,-59.3455197450522,132,LITORAL,VALID
501.0,SANTA ELENA ER,-30.9831821206952,-59.66007927659,132,LITORAL,VALID
64.0,C. DEL URUGUAY,-32.4727952157061,-58.2680072307677,132,LITORAL,VALID
500.0,SAN SALVADOR,-31.6114756477581,-58.4891551934347,132,LITORAL,VALID
1493.0,VILLAGUAY,-31.850564423002,-59.0445049189073,132,LITORAL,VALID
184.0,ESQUINA,-30.0097345306748,-59.5325699937153,132,NEA,VALID
209.0,GOYA,-29.1385668687666,-59.2272566585023,132,NEA,VALID
5429.0,GOYA OESTE,-29.1727145330599,-59.281015699601,132,NEA,VALID
5505.0,STELLA MARIS,-29.5467974959277,-59.3231270445679,132,NEA,VALID
150.0,CURUZU CUATIA,-29.7939726466886,-58.0794209031184,132,NEA,VALID
323.0,MERCEDES DPEC,-29.1811213330712,-58.0942291777492,132,NEA,VALID
5458.0,PASO TALA,-29.2452233757671,-58.7321466336151,132,NEA,VALID
5062.0,COLONIA BRUGNE,-28.0945409251951,-58.778800520965,132,NEA,VALID
5113.0,CORRIENTES ESTE,-27.4697669349977,-58.7775855579975,132,NEA,VALID
5471.0,PIRAYU,-27.322425699347,-58.5667950910766,132,NEA,VALID
103.0,CD6-CHACO,-27.4727452175848,-59.0047846212208,132,NEA,VALID
438.0,RESISTENCIA NORTE,-27.4121738865411,-58.9870032033169,132,NEA,VALID
4573.0,CD5-CHACO,-27.3990590904006,-59.0029950410902,132,NEA,VALID
5056.0,CD8 - CHACO,-27.4915371946413,-58.9455489278991,132,NEA,VALID
5078.0,LA LEONESA,-26.9897892536606,-58.8729990265628,132,NEA,VALID
5081.0,PUERTO VILELAS,-27.4991548027761,-58.9909823058056,132,NEA,VALID
5159.0,MANSILLA,-26.6541645134582,-58.6182885600508,132,NEA,VALID
5269.0,CD15 - CHACO,-27.4530273644667,-59.0284689834268,132,NEA,VALID
46.0,BARRANQUERAS,-27.4906702151604,-58.9283094648298,132,NEA,VALID
415.0,PTE. DE LA PLAZA,-27.0051862064194,-59.8583282497116,132,NEA,VALID
489.0,SAN MARTIN CHACO,-26.5583424697676,-59.3211391764427,132,NEA,VALID
5054.0,LA ESCONDIDA,-27.1338639690507,-59.471586612484,132,NEA,VALID
5457.0,PRESIDENCIA ROCA,-26.1549088191166,-59.6004542580516,132,NEA,VALID
97.0,CASTELLI CHACO,-25.9491103771234,-60.6198734024488,132,NEA,VALID
112.0,CHARATA,-27.2377728700552,-61.1946799391534,132,NEA,VALID
456.0,ROQUE SAENZ PENA,-26.815922908992,-60.4111478608131,132,NEA,VALID
560.0,VILLA ANGELA,-27.5813568452427,-60.7096624656777,132,NEA,VALID
4986.0,TRES ISLETAS,-26.3581209648558,-60.4237348027083,132,NEA,VALID
5055.0,CAMPO LARGO,-26.8396640747299,-60.8690081976975,132,NEA,VALID
5077.0,QUITILIPI,-26.876372642248,-60.2423730172172,132,NEA,VALID
5079.0,PAMPA DEL INFIER,-26.5045579358575,-61.1867566235969,132,NEA,VALID
5391.0,SAN BERNARDO CH,-27.2879028679727,-60.6694299969094,132,NEA,VALID
5570.0,LAS BREÑAS,,,132,NEA,MISSING
201.0,FORMOSA I,-26.1749921332219,-58.2093867856374,132,NEA,VALID
5127.0,FORMOSA II,-26.13710588068,-58.1947918156745,132,NEA,VALID
5424.0,FORMOSA III,-26.2039449025595,-58.2634955530704,132,NEA,VALID
404.0,PIRANE,-25.6787999435302,-59.0763358557909,132,NEA,VALID
1433.0,EL COLORADO,-26.3105894954499,-59.3479135134837,132,NEA,VALID
4843.0,LAS LOMITAS NEA,-24.7503507055793,-60.5288010190968,132,NEA,VALID
4952.0,ING. G. JUAREZ,-23.9181695700235,-61.8124123141493,132,NEA,VALID
125.0,CLORINDA,-25.3081735807678,-57.7286292904251,220,NEA,VALID
4957.0,LAGUNA BLANCA,-25.1295023918622,-58.2586795707223,132,NEA,VALID
5114.0,GUEMES FORMOSA,-24.7586192434871,-59.4925602988349,132,NEA,VALID
173.0,EL DORADO,-26.4492394899966,-54.6990516627992,132,MIS,VALID
238.0,IGUAZU,-25.619572601283,-54.5832276209201,132,MIS,VALID
4653.0,WANDA,-25.9756696284244,-54.5785575507402,132,MIS,VALID
450.0,ROCA - MISIONES,-27.2674783754646,-55.4507324995217,132,MIS,VALID
353.0,OBERA,-27.500868305592,-55.1245900799851,132,MIS,VALID
5404.0,OBERA II,-27.4473994739696,-55.0839211478251,132,MIS,VALID
366.0,P.MINERAL,-26.9429194692657,-55.0812246172744,132,MIS,VALID
1436.0,A. DEL VALLE,-27.0923715152455,-54.8631003739809,132,MIS,VALID
1437.0,SAN VICENTE,-27.018133257598,-54.4606596022007,132,MIS,VALID
255.0,LA BANDA,-27.7526734536671,-64.2662298795699,132,NOA,VALID
4900.0,LA BANDA ESTE,-27.7272063052086,-64.2200888912156,132,NOA,VALID
3353.0,SANTIAGO OESTE,-27.7986726632189,-64.2908828625901,132,NOA,VALID
508.0,SANTIAGO CENTRO,-27.8168623892766,-64.2419908341241,132,NOA,VALID
4826.0,SANTIAGO SUR,-27.8363894430962,-64.2751553379156,132,NOA,VALID
4894.0,SANTIAGO ESTE,-27.7787859644026,-64.2568646685563,132,NOA,VALID
5327.0,LA FANDET,-27.7807498642407,-64.2815666274295,132,NOA,VALID
5328.0,PRIMERA JUNTA,-27.8063782063043,-64.2620245165631,132,NOA,VALID
193.0,FERNANDEZ,-27.9088419451896,-63.8871391306624,132,NOA,VALID
527.0,SUNCHO CORRAL,-27.9480200788237,-63.4231787020838,132,NOA,VALID
21.0,AÑATUYA,-28.4448040956012,-62.855069100804,132,NOA,VALID
3398.0,BANDERA,-28.8756107596299,-62.2791290287064,132,NOA,VALID
3399.0,QUIMILI,-27.6362713017932,-62.4255435563731,132,NOA,VALID
4898.0,CAMPO GALLO,-26.6114514453223,-62.8515183786418,132,NOA,VALID
5073.0,COPO,-25.8491142064439,-62.8183783630987,132,NOA,VALID
108.0,CEVIL POZO,-26.8459105864106,-65.1375572690151,132,NOA,VALID
513.0,SARMIENTO TUCUM.,-26.81587745756,-65.2114135489393,132,NOA,VALID
544.0,TUCUMAN NORTE,-26.7909786798506,-65.2124875335514,132,NOA,VALID
545.0,TUCUMAN OESTE,-26.8103273164856,-65.263255849271,132,NOA,VALID
583.0,AVELLANEDA NOA,-26.8291964850805,-65.1949768377266,132,NOA,VALID
240.0,INDEPENDENCIA,-26.8656820386201,-65.2240955890502,132,NOA,VALID
4903.0,LULES,-26.9470688304581,-65.3391918237068,132,NOA,VALID
370.0,PAPEL DE TUCUMAN,-26.9388223730322,-65.3697979095081,132,NOA,VALID
185.0,ESTATICA,-26.8486010590403,-65.2131587214799,132,NOA,VALID
3396.0,MANANTIAL,-26.8353049878339,-65.2714020141307,132,NOA,VALID
1195.0,ANDALGALA,-27.5917992892071,-66.3032318661304,132,NOA,VALID
51.0,BELEN,-27.6794096625744,-67.0206757065595,132,NOA,VALID
536.0,TINOGASTA,-28.0481272023397,-67.5670111619803,132,NOA,VALID
202.0,FRIAS,-28.6063761199226,-65.1223674785096,132,NOA,VALID
435.0,RECREO,-29.2603963900644,-65.0574469230681,500,NOA,VALID
488.0,SAN MARTIN,-29.2265970784221,-65.7680895146486,132,NOA,VALID
99.0,CATAMARCA,-28.471020289927,-65.7639576392066,132,NOA,VALID
4933.0,VALLE VIEJO,-28.4741987731646,-65.7107515838065,132,NOA,VALID
4996.0,PANTANILLO,-28.5389277777778,-65.7948051788139,132,NOA,VALID
377.0,PQUE INDUSTRIAL SALTA,-24.8203952650224,-65.377785522305,132,NOA,VALID
467.0,SALTA SUR,-24.802126168453,-65.4297341354356,132,NOA,VALID
468.0,SALTA NORTE,-24.7422310679944,-65.3982754550894,132,NOA,VALID
1196.0,SALTA ESTE,-24.8417992156863,-65.4195894392819,132,NOA,VALID
5361.0,SAN AGUSTIN,-24.9794959086329,-65.4260874016168,132,NOA,VALID
287.0,LIBERTADOR,-23.8221608167442,-64.7851859690269,132,NOA,VALID
5347.0,CAIMANCITO,-23.732735960737,-64.6144258544822,132,NOA,VALID
395.0,PICHANAL,-23.3118930741095,-64.2116225891682,132,NOA,VALID
4827.0,A. SARAVIA,-24.355250034608,-63.9775864867176,132,NOA,VALID
5223.0,LA ESTRELLA,-23.8268893762507,-64.0626528052785,132,NOA,VALID
248.0,J.V. GONZALES,-25.1028869837327,-64.1446383572783,132,NOA,VALID
357.0,ORAN,-23.1418247581121,-64.3216289088716,132,NOA,VALID
4971.0,TABACAL,-23.2533519341199,-64.2423012035616,132,NOA,VALID
532.0,TARTAGAL,-22.5409911696983,-63.8058151912999,132,NOA,VALID
5094.0,SENDA HACHADA,-23.023045798428,-63.9115446862164,132,NOA,VALID
5095.0,DRAGONES,-23.2475608193341,-63.3506121185632,132,NOA,VALID
205.0,GENERAL PICO,-35.6559232826073,-63.7414135265158,132,COMAHUE,VALID
432.0,REALICO,-35.0546534947737,-64.2446163022318,132,COMAHUE,VALID
506.0,SANTA ROSA LP,-36.6021887431427,-64.2474132188735,132,COMAHUE,VALID
4904.0,MAURICIO MAYER,-36.1768564525563,-64.0512385431923,132,COMAHUE,VALID
5103.0,SANTA ROSA SUR,-36.6677291803964,-64.2911981509263,132,COMAHUE,VALID
122.0,CIPOLLETTI,-38.9133518351355,-67.9428174274221,132,COMAHUE,VALID
570.0,VILLA REGINA,-39.087939894672,-67.0885567743435,132,COMAHUE,VALID
5436.0,ING CIPOLLETTI,-38.9256160145943,-68.0105877559873,132,COMAHUE,VALID
104.0,CENTENARIO,-38.8381111054747,-68.1382396838506,132,COMAHUE,VALID
220.0,GRAN NEUQUÉN,-38.9287382876954,-68.1054750768945,132,COMAHUE,VALID
129.0,COLONIA VALENTINA,-38.9226874050089,-68.1981668957491,132,COMAHUE,VALID
4987.0,NEUQUÉN NORTE,-38.930828722716,-68.0708835122101,132,COMAHUE,VALID
320.0,MEDANITO,-37.9899100993576,-67.9402729213704,132,COMAHUE,VALID
115.0,CHIHUIDO,-37.3309069452681,-69.2773229159958,132,COMAHUE,VALID
120.0,CHOS MALAL,-37.374987172252,-70.2615605579065,132,COMAHUE,VALID
195.0,FILO MORADO,-37.2738910920828,-69.6520378791246,132,COMAHUE,VALID
369.0,PAMPA TRILL,-37.2967716925878,-69.8335299922448,132,COMAHUE,VALID
416.0,PUESTO HERNANDEZ,-37.2869129552188,-69.0727884430466,132,COMAHUE,VALID
3333.0,EL TRAPIAL,-37.3679293572827,-69.2784826052912,132,COMAHUE,VALID
4962.0,RINCON DE LOS SAUCES,-37.4114661995657,-68.8990349196285,132,COMAHUE,VALID
576.0,ZAPALA,-38.8881825307556,-70.0346339397335,132,COMAHUE,VALID
43.0,BARILOCHE,-41.1591048364126,-71.2518593227008,132,COMAHUE,VALID
401.0,PILCANIYEU,-41.1924515711608,-70.8652073260788,132,COMAHUE,VALID
635.0,SAN ANTONIO OESTE,-40.7453501886763,-65.0696040660869,132,COMAHUE,VALID
648.0,VIEDMA,-40.8330021315463,-62.9908716460832,132,COMAHUE,VALID
