nombre,id,propiedad,concesion,potencia_instalada_mv,fecha_puesta_servicio,tension_entrada,tension_salida,geojson,geom,longitude,latitude
NECOCHEA,NE,TRANSBA S.A,TRANSBA S.A,55.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-58.711634,-38.578568]]}",0104000020E61000000100000001010000005F5CAAD2165B4DC08D4127840E4A43C0,-58.711634,-38.578568
QUEQUÉN,QU,TRANSBA S.A,TRANSBA S.A,15.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-58.704183,-38.558515]]}",0104000020E610000001000000010100000018B325AB225A4DC0A8A9656B7D4743C0,-58.704183,-38.558515
PASO DE LA PATRIA,PT,ENECOR,TRANSENER S.A,300.0,1998-06-26,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-58.6873637869107,-27.3839186065953]]}",0104000020E61000000100000001010000003B9E5C89FB574DC015A7637D48623BC0,-58.6873637869107,-27.3839186065953
MANSILLA,MAN,TRANSNEA S.A,TRANSNEA S.A,30.0,2015-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-58.6183737012372,-26.6545009330142]]}",0104000020E610000001000000010100000092C293DE264F4DC0527F865F8DA73AC0,-58.6183737012372,-26.6545009330142
COLONIA ELIA,CE,TRANSENER S.A,TRANSENER S.A,0.0,1981-01-01,500,500,"{""type"":""MultiPoint"",""coordinates"":[[-58.2938816800393,-32.6015794091207]]}",0104000020E6100000010000000101000000C85436EA9D254DC0680FD88D004D40C0,-58.2938816800393,-32.6015794091207
LAGUNA BLANCA,LBL,TRANSNEA S.A,TRANSNEA S.A,30.0,2014-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-58.2587755353106,-25.129687112472]]}",0104000020E6100000010000000101000000FE94868E1F214DC0A3C7B22C332139C0,-58.2587755353106,-25.129687112472
BALCARCE,BL,TRANSBA S.A,TRANSBA S.A,45.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-58.226929,-37.857291]]}",0104000020E6100000010000000101000000CAC16C020C1D4DC0DB1324B6BBED42C0,-58.226929,-37.857291
FORMOSA I,FORI,TRANSNEA S.A,TRANSNEA S.A,195.0,1982-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-58.2099975783033,-26.1747430066627]]}",0104000020E6100000010000000101000000A1865D33E11A4DC030D22AF5BB2C3AC0,-58.2099975783033,-26.1747430066627
FORMOSA II,FORII,TRANSNEA S.A,TRANSNEA S.A,60.0,2014-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-58.1947577856953,-26.1373648833517]]}",0104000020E6100000010000000101000000EC19B8D2ED184DC04F9D51582A233AC0,-58.1947577856953,-26.1373648833517
ABASTO,AB,TRANSENER S.A,TRANSENER S.A,0.0,1984-01-01,500,500,"{""type"":""MultiPoint"",""coordinates"":[[-58.1644430823425,-34.9681051151397]]}",0104000020E6100000010000000101000000705B8E780C154DC0C84E50DEEA7B41C0,-58.1644430823425,-34.9681051151397
CHASCOMÚS,CU,TRANSBA S.A,TRANSBA S.A,45.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-57.966406,-35.569684]]}",0104000020E61000000100000001010000003F541A31B3FB4CC0F986C267EBC841C0,-57.966406,-35.569684
SALTO GRANDE,SG,CTMSG,TRANSENER S.A,0.0,1981-01-01,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-57.9631435265704,-31.2788331464833]]}",0104000020E6100000010000000101000000A8FC7D4948FB4CC0C02FED9B61473FC0,-57.9631435265704,-31.2788331464833
MIRAMAR,MR,TRANSBA S.A,TRANSBA S.A,30.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-57.825456,-38.248151]]}",0104000020E6100000010000000101000000BC24CE8AA8E94CC01FBC7669C31F43C0,-57.825456,-38.248151
LAS ARMAS,LM,TRANSBA S.A,TRANSBA S.A,11.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-57.81903,-37.077627]]}",0104000020E6100000010000000101000000B0389CF9D5E84CC0AF2479AEEF8942C0,-57.81903,-37.077627
CLORINDA,CLO,TRANSNEA S.A,TRANSNEA S.A,150.0,1987-11-28,132 | 220,13.2 | 33 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-57.7286114922457,-25.3082090649796]]}",0104000020E6100000010000000101000000B157312443DD4CC00A6B0ECAE64E39C0,-57.7286114922457,-25.3082090649796
MERCEDES,ME,LIMSA,TRANSENER S.A,300.0,2008-12-23,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-57.7017737848242,-29.3561331541927]]}",0104000020E610000001000000010100000045812FB9D3D94CC07847DA8A2B5B3DC0,-57.7017737848242,-29.3561331541927
DOLORES,DO,TRANSBA S.A,TRANSBA S.A,30.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-57.692836,-36.328177]]}",0104000020E6100000010000000101000000E8BE9CD9AED84CC0522635B4012A42C0,-57.692836,-36.328177
MONTE CASEROS,MCA,TRANSNEA S.A,TRANSNEA S.A,30.0,1981-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-57.6688225872083,-30.2473440600304]]}",0104000020E6100000010000000101000000607181FA9BD54CC0CBB0B8F0513F3EC0,-57.6688225872083,-30.2473440600304
MAR DEL PLATA,MP,TRANSBA S.A,TRANSBA S.A,0.0,,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-57.618491,-37.996081]]}",0104000020E610000001000000010100000067EF8CB62ACF4CC05F950B957FFF42C0,-57.618491,-37.996081
GENERAL MADARIAGA,GD,TRANSBA S.A,TRANSBA S.A,20.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-57.139766,-37.011265]]}",0104000020E6100000010000000101000000DF8B2FDAE3914CC0734BAB21718142C0,-57.139766,-37.011265
MANIOBRAS PASO DE LOS LIBRES,PLI,TRANSNEA S.A,TRANSNEA S.A,0.0,1981-01-01,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-57.1141533726401,-29.7282897898412]]}",0104000020E6100000010000000101000000D61BE5939C8E4CC0F9601D3371BA3DC0,-57.1141533726401,-29.7282897898412
VILLA GESELL,VG,TRANSBA S.A,TRANSBA S.A,85.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-56.997182,-37.247644]]}",0104000020E61000000100000001010000007714E7A8A37F4CC07B8670CCB29F42C0,-56.997182,-37.247644
VALERIA DEL MAR,VA,TRANSBA S.A,TRANSBA S.A,30.0,2010-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-56.919389,-37.148254]]}",0104000020E6100000010000000101000000ADA6EB89AE754CC027C0B0FCF99242C0,-56.919389,-37.148254
PINAMAR,PM,TRANSBA S.A,TRANSBA S.A,45.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-56.879656,-37.095689]]}",0104000020E610000001000000010100000076DD5B9198704CC021CB82893F8C42C0,-56.879656,-37.095689
SAN CLEMENTE,SE,TRANSBA S.A,TRANSBA S.A,30.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-56.719809,-36.381824]]}",0104000020E6100000010000000101000000E82E89B3225C4CC0F969DC9BDF3042C0,-56.719809,-36.381824
MAR DEL TUYU,MU,TRANSBA S.A,TRANSBA S.A,20.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-56.713969,-36.57612]]}",0104000020E6100000010000000101000000CDAD1056635B4CC02849D74CBE4942C0,-56.713969,-36.57612
LAS TONINAS,LO,TRANSBA S.A,TRANSBA S.A,30.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-56.711191,-36.473886]]}",0104000020E6100000010000000101000000D21A834E085B4CC02104E44BA83C42C0,-56.711191,-36.473886
RINCÓN SANTA MARÍA,RI,YACILEC/LITSA/CTM/TESA,TRANSENER S.A,300.0,1995-09-05,500,132 | 500,"{""type"":""MultiPoint"",""coordinates"":[[-56.6974741140223,-27.4887746192206]]}",0104000020E61000000100000001010000002BC4EED446594CC0D6AA5C55207D3BC0,-56.6974741140223,-27.4887746192206
MAR DE AJO,MJ,TRANSBA S.A,TRANSBA S.A,89.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-56.694555,-36.719797]]}",0104000020E6100000010000000101000000FB22A12DE7584CC02461DF4E225C42C0,-56.694555,-36.719797
LA CRUZ,LCR,TRANSNEA S.A,TRANSNEA S.A,15.0,2002-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-56.660839487103,-29.1632825810788]]}",0104000020E6100000010000000101000000A681686396544CC079BD21E3CC293DC0,-56.660839487103,-29.1632825810788
VIRASORO,VIR,TRANSNEA S.A,TRANSNEA S.A,30.0,2002-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-56.0138929395235,-28.0640287578199]]}",0104000020E61000000100000001010000000E736C3EC7014CC003D74C3064103CC0,-56.0138929395235,-28.0640287578199
SAN ISIDRO,SI,LITSA,TRANSENER S.A,600.0,2008-05-07,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-55.9157369089838,-27.4420391033452]]}",0104000020E6100000010000000101000000A9E9F5DD36F54BC0C46B847929713BC0,-55.9157369089838,-27.4420391033452
GARABI,GA,CTM/TESA,CTM/TESA,0.0,,,,"{""type"":""MultiPoint"",""coordinates"":[[-55.6719637212055,-28.2558171498897]]}",0104000020E61000000100000001010000008F563FE802D64BC04688943B7D413CC0,-55.6719637212055,-28.2558171498897
