nombre,id,propiedad,concesion,potencia_instalada_mv,fecha_puesta_servicio,tension_entrada,tension_salida,geojson,geom,longitude,latitude
ROSARIO OESTE,RO,TRANSENER S.A,TRANSENER S.A,1200.0,1981-01-01,500,132 | 220,"{""type"":""MultiPoint"",""coordinates"":[[-60.7800065122245,-32.9684299681785]]}",0104000020E6100000010000000101000000E855DE40D7634EC080E56083F57B40C0,-60.7800065122245,-32.9684299681785
ROJAS,RF,TRANSBA S.A,TRANSBA S.A,30.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.702866,-34.197836]]}",0104000020E610000001000000010100000034BC5983F7594EC059FCA6B0521941C0,-60.702866,-34.197836
PERGAMINO,PO,TRANSBA S.A,TRANSBA S.A,90.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.538137,-33.90083]]}",0104000020E61000000100000001010000003FE257ACE1444EC0BAA0BE654EF340C0,-60.538137,-33.90083
LAS LOMITAS,LLO,TRANSNEA S.A,TRANSNEA S.A,30.0,2013-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.5289679215966,-24.7502677662535]]}",0104000020E6100000010000000101000000F9F18938B5434EC0454D5F8C11C038C0,-60.5289679215966,-24.7502677662535
CHACABUCO INDUSTRIAL,CD,TRANSBA S.A,TRANSBA S.A,15.0,2000-01-01,132,13.2,"{""type"":""MultiPoint"",""coordinates"":[[-60.509482,-34.608052]]}",0104000020E610000001000000010100000049F3C7B436414EC03A22DFA5D44D41C0,-60.509482,-34.608052
CHACABUCO,CB,TRANSBA S.A,TRANSBA S.A,30.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.466005,-34.655024]]}",0104000020E6100000010000000101000000E162450DA63B4EC02C0C91D3D75341C0,-60.466005,-34.655024
CHACO,CHA,LIMSA,TRANSENER S.A,300.0,2011-07-31,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-60.4397314145805,-26.8661647462971]]}",0104000020E6100000010000000101000000D552761E49384EC04D4B0AF9BCDD3AC0,-60.4397314145805,-26.8661647462971
BRAGADO,BG,TRANSBA S.A,TRANSBA S.A,365.0,,132 | 220,13.2 | 33 | 66 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-60.429668,-35.13717]]}",0104000020E6100000010000000101000000A1116C5CFF364EC004FF5BC98E9141C0,-60.429668,-35.13717
PARANA,PA,FUTURA,TRANSENER S.A,600.0,2015-01-01,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-60.4242475858323,-31.7164052208066]]}",0104000020E61000000100000001010000004847B1BE4D364EC0500C225566B73FC0,-60.4242475858323,-31.7164052208066
OLAVARRIA,OL,TRANSENER S.A,TRANSENER S.A,0.0,1984-01-01,500,500,"{""type"":""MultiPoint"",""coordinates"":[[-60.3448719765171,-36.8380831614814]]}",0104000020E61000000100000001010000005839D2C3242C4EC010F21C4F466B42C0,-60.3448719765171,-36.8380831614814
