nombre,id,propiedad,concesion,potencia_instalada_mv,fecha_puesta_servicio,tension_entrada,tension_salida,geojson,geom
PUELCHES,PU,TRANSENER S.A,TRANSENER S.A,150,1972-01-01,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-65.8228966512544,-38.1498465212852]]}",0104000020E61000000100000001010000000848B756AA7450C0682BBA2B2E1343C0
CATAMARCA I,CAT,TRANSNOA S.A,TRANSNOA S.A,90,1970-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.7643353126822,-28.470860439433]]}",0104000020E610000001000000010100000076C9A8DEEA7050C04D584C4F8A783CC0
CATAMARCA II,CA2,TRANSNOA S.A,TRANSNOA S.A,60,2001-11-27,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.7640681684772,-28.4698964763994]]}",0104000020E61000000100000001010000008AE12C7EE67050C014A4AE224B783CC0
PUEBLO VIEJO,PVI,SIN DATOS,SIN DATOS,,,,,"{""type"":""MultiPoint"",""coordinates"":[[-65.7514165648139,-27.1451614720511]]}",0104000020E610000001000000010100000018E38035177050C036195F4D29253BC0
ESCABA,ESC,SIN DATOS,SIN DATOS,,,,,"{""type"":""MultiPoint"",""coordinates"":[[-65.7469660666917,-27.6367348223117]]}",0104000020E610000001000000010100000068EAC24ACE6F50C0A20DA60D01A33BC0
TAFI DEL VALLE,TAF,TRANSNOA S.A,TRANSNOA S.A,30,2014-05-14,220,33,"{""type"":""MultiPoint"",""coordinates"":[[-65.7161326068981,-26.8026069831054]]}",0104000020E6100000010000000101000000808EDB1DD56D50C08FFAB7A677CD3AC0
VALLE VIEJO,VVI,TRANSNOA S.A,TRANSNOA S.A,30,2010-12-22,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.7101894866335,-28.4744943937331]]}",0104000020E610000001000000010100000075C39ABE736D50C00C38EF7678793CC0
CHOELE CHOEL,CL,TRANSENER S.A,TRANSENER S.A,100,1984-01-01,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-65.6912930077178,-39.5683590525332]]}",0104000020E61000000100000001010000007C0607253E6C50C000824BFDBFC843C0
LOS PIZARROS,LPI,SIN DATOS,SIN DATOS,,,,,"{""type"":""MultiPoint"",""coordinates"":[[-65.6455749375766,-27.7464509072665]]}",0104000020E610000001000000010100000090008B19516950C079C71A6817BF3BC0
AGUILARES,AGU,TRANSNOA S.A,TRANSNOA S.A,45,1956-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.610384720343,-27.4341255387426]]}",0104000020E61000000100000001010000007CF6128B106750C0F741EFD9226F3BC0
HUACRA,HUA,TRANSNOA S.A,TRANSNOA S.A,15,1970-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.585681249554,-28.0169173380589]]}",0104000020E6100000010000000101000000C02D35CD7B6550C0C7B2D5B154043CC0
LA COCHA,LCO,TRANSNOA S.A,TRANSNOA S.A,15,1998-12-11,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.5806994972712,-27.7540436515491]]}",0104000020E61000000100000001010000005865392E2A6550C0EC28370109C13BC0
VILLA QUINTEROS,VQU,TRANSNOA S.A,TRANSNOA S.A,45,1956-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.5452386595421,-27.2594755937556]]}",0104000020E6100000010000000101000000E5CFB030E56250C0554A15FE6C423BC0
EL CARRIL,ECA,TRANSNOA S.A,TRANSNOA S.A,30,2002-07-26,132,33 | 66,"{""type"":""MultiPoint"",""coordinates"":[[-65.4962526947304,-25.073016396975]]}",0104000020E6100000010000000101000000CE9AA99AC25F50C04F14DD33B11239C0
PAMPA GRANDE,PGR,SIN DATOS,SIN DATOS,,,,,"{""type"":""MultiPoint"",""coordinates"":[[-65.483436822587,-25.8424895788719]]}",0104000020E610000001000000010100000061ACFFA0F05E50C0CB79A465ADD739C0
SALTA SUR,SSU,TRANSNOA S.A,TRANSNOA S.A,106.5,1963-01-01,132,13.2,"{""type"":""MultiPoint"",""coordinates"":[[-65.429890170625,-24.8026501048706]]}",0104000020E610000001000000010100000034ED0F52835B50C0DD8C2E7A7ACD38C0
SALTA ESTE,SES,TRANSNOA S.A,TRANSNOA S.A,60,2000-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.4195894392819,-24.8417992156863]]}",0104000020E6100000010000000101000000A0DDA98DDA5A50C0CB2B452780D738C0
