nombre,id,propiedad,concesion,potencia_instalada_mv,fecha_puesta_servicio,tension_entrada,tension_salida,geojson,geom
J.V GONZALEZ,JVG,SIN DATOS,SIN DATOS,,,,,"{""type"":""MultiPoint"",""coordinates"":[[-64.1446383572783,-25.1028869837327]]}",0104000020E610000001000000010100000079903DC1410950C0DC5026CD561A39C0
APOLINARIO SARAVIA,ASA,TRANSNOA S.A,TRANSNOA S.A,15,2008-10-30,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-63.9775864867176,-24.355250034608]]}",0104000020E610000001000000010100000057BBD28D21FD4FC04A8B90AAF15A38C0
MALVINAS ARGENTINAS,MA,TRANSENER S.A,TRANSENER S.A,600,1987-01-01,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-63.9127149999508,-31.340017010785]]}",0104000020E6100000010000000101000000B8AD59D8D3F44FC0C067D55A0B573FC0
TARTAGAL,TAR,TRANSNOA S.A,TRANSNOA S.A,30,1987-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-63.8053349714417,-22.5415696281267]]}",0104000020E61000000100000001010000006C55623715E74FC0964FA14EA48A36C0
MACACHIN,MC,TRANSENER S.A,TRANSENER S.A,150,2001-09-10,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-63.5639494984347,-37.1525489344882]]}",0104000020E6100000010000000101000000B82F467F2FC84FC0485536B9869342C0
SUNCHO CORRAL,SCO,TRANSNOA S.A,TRANSNOA S.A,30,2004-01-15,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-63.4231787020838,-27.9480200788237]]}",0104000020E61000000100000001010000002BE83EB82AB64FC0D57FA271B1F23BC0
ARROYO CABRAL,AC,TRANSENER S.A,TRANSENER S.A,300,2012-03-21,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-63.4228933427509,-32.4970559715653]]}",0104000020E6100000010000000101000000D0677A5E21B64FC0C013B3879F3F40C0
VIEDMA,VD,EDERSA TI,TRANSPA S.A,30,1983-01-01,132,13.2 | 33 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-62.99,-40.833]]}",0104000020E61000000100000001010000001F85EB51B87E4FC0B4C876BE9F6A44C0
PATAGONES,PK,TRANSBA S.A,TRANSBA S.A,30,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-62.963607,-40.798086]]}",0104000020E61000000100000001010000002D996379577B4FC09EB29AAE276644C0
AÑATUYA,AÑA,TRANSNOA S.A,TRANSNOA S.A,35,2006-09-10,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-62.8548784240462,-28.4455193616233]]}",0104000020E6100000010000000101000000CCAAFCA76C6D4FC01BE88F8E0D723CC0
CAMPO GALLO,CGA,TRANSNOA S.A,TRANSNOA S.A,30,2013-08-14,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-62.8515183786418,-26.6114514453223]]}",0104000020E6100000010000000101000000D01AE28DFE6C4FC05DC0F814889C3AC0
COPO,COP,TRANSNOA S.A,TRANSNOA S.A,30,2011-01-11,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-62.8183783630987,-25.8491142064439]]}",0104000020E6100000010000000101000000A6A1489FC0684FC0D93E738C5FD939C0
MONTE QUEMADO,MQ,LIMSA,TRANSENER S.A,150,2011-08-01,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-62.8146106720973,-25.846482375621]]}",0104000020E6100000010000000101000000B8D0992945684FC0C0EEA711B3D839C0
TRENQUE LAUQUEN,TL,TRANSBA S.A,TRANSBA S.A,150,,66 | 132,13.2 | 33 | 66,"{""type"":""MultiPoint"",""coordinates"":[[-62.724444,-35.986467]]}",0104000020E610000001000000010100000047E4BB94BA5C4FC0A7CAF78C44FE41C0
PEDRO LURO,PL,TRANSBA S.A,TRANSBA S.A,15,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-62.66769,-39.519709]]}",0104000020E6100000010000000101000000E1EEACDD76554FC0EB3713D385C243C0
QUIMILI,QUI,TRANSNOA S.A,TRANSNOA S.A,30,2010-12-19,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-62.4255435563731,-27.6362713017932]]}",0104000020E6100000010000000101000000B1D2143678364FC0BE9510ADE2A23BC0
GUILLERMO BROWN,GBR,TRANSENER S.A,TRANSENER S.A,0,2015-01-01,500,500,"{""type"":""MultiPoint"",""coordinates"":[[-62.4154090085236,-38.68497494943]]}",0104000020E61000000100000001010000004809551F2C354FC0C8305742AD5743C0
PIGÜÉ,PF,TRANSBA S.A,TRANSBA S.A,30,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-62.409305,-37.614212]]}",0104000020E61000000100000001010000006E8B321B64344FC0C767B27F9ECE42C0
CHAÑARES,CH,TRANSBA S.A,TRANSBA S.A,60,2008-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-62.310911,-38.682282]]}",0104000020E6100000010000000101000000BB7B80EECB274FC022533E04555743C0
PROFÉRTIL,PR,TRANSBA S.A,TRANSBA S.A,0,,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-62.280825,-38.782621]]}",0104000020E61000000100000001010000001973D712F2234FC0D714C8EC2C6443C0
PETROQUÍMICA,PQ,TRANSBA S.A,TRANSBA S.A,95,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-62.280742,-38.77335]]}",0104000020E61000000100000001010000008B4E965AEF234FC0492EFF21FD6243C0
BANDERA,BAN,TRANSNOA S.A,TRANSNOA S.A,30,2009-04-22,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-62.2791290287064,-28.8756107596299]]}",0104000020E610000001000000010100000044D40080BA234FC0E0A2D80628E03CC0
TORNQUIST,TO,TRANSBA S.A,TRANSBA S.A,15,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-62.274716,-38.093213]]}",0104000020E61000000100000001010000000ED8D5E429234FC0F1475167EE0B43C0
CT LUIS PIEDRABUENA,LP,TRANSBA S.A,TRANSBA S.A,0,,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-62.253137,-38.786309]]}",0104000020E61000000100000001010000002B3410CB66204FC076C6F7C5A56443C0
BAHÍA BLANCA URBANA,BU,TRANSBA S.A,TRANSBA S.A,80,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-62.251666,-38.774902]]}",0104000020E6100000010000000101000000F0C16B9736204FC070CD1DFD2F6343C0
NORTE DOS,ND,TRANSBA S.A,TRANSBA S.A,85,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-62.246667,-38.705353]]}",0104000020E61000000100000001010000005000C5C8921F4FC05891D101495A43C0
PUNTA ALTA,PV,TRANSBA S.A,TRANSBA S.A,30,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-62.070669,-38.850942]]}",0104000020E6100000010000000101000000A7EB89AE0B094FC07C65DEAAEB6C43C0
CORONEL ROSALES,CR,TRANSBA S.A,TRANSBA S.A,0,,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-62.056471,-38.874724]]}",0104000020E6100000010000000101000000121615713A074FC05E83BEF4F66F43C0
BAHIA BLANCA,BB,TRANSENER S.A,TRANSENER S.A,0,1984-01-01,500,500,"{""type"":""MultiPoint"",""coordinates"":[[-62.0538597297966,-38.6561680298641]]}",0104000020E6100000010000000101000000200629E0E4064FC038796250FD5343C0
BAHÍA BLANCA 500,BB,TRANSBA S.A,TRANSBA S.A,600,,500,13.2 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-62.053094,-38.657901]]}",0104000020E610000001000000010100000092CEC0C8CB064FC0BB809719365443C0
CORONEL SUAREZ,CZ,TRANSBA S.A,TRANSBA S.A,30,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-61.957094,-37.446747]]}",0104000020E61000000100000001010000005299620E82FA4EC0064B75012FB942C0
PEHUAJÓ,PH,TRANSBA S.A,TRANSBA S.A,26,,66,13.2,"{""type"":""MultiPoint"",""coordinates"":[[-61.877894,-35.835533]]}",0104000020E610000001000000010100000064ADA1D45EF04EC048DDCEBEF2EA41C0
ING. JUAREZ,JUA,TRANSNEA S.A,TRANSNEA S.A,15,2014-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-61.8124787213905,-23.9180826680753]]}",0104000020E6100000010000000101000000B288804DFFE74EC070683A7707EB37C0
HENDERSON,HE,TRANSBA S.A,TRANSBA S.A,75,,,,"{""type"":""MultiPoint"",""coordinates"":[[-61.673335,-36.346515]]}",0104000020E610000001000000010100000047205ED72FD64EC06649809A5A2C42C0
HENDERSON,HE,TRANSENER S.A,TRANSENER S.A,1000,1972-01-01,500,132 | 220,"{""type"":""MultiPoint"",""coordinates"":[[-61.6700817654792,-36.3468393218204]]}",0104000020E61000000100000001010000008830423DC5D54EC0B8171C3B652C42C0
LINCOLN,LI,TRANSBA S.A,TRANSBA S.A,30,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-61.519734,-34.857472]]}",0104000020E6100000010000000101000000444FCAA486C24EC02C9E7AA4C16D41C0
CARLOS CASARES,CJ,TRANSBA S.A,TRANSBA S.A,30,,66 | 132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-61.358217,-35.63267]]}",0104000020E610000001000000010100000085EFFD0DDAAD4EC085949F54FBD041C0
CORONEL PRINGLES,CF,TRANSBA S.A,TRANSBA S.A,20,,132,13.2,"{""type"":""MultiPoint"",""coordinates"":[[-61.356516,-38.005384]]}",0104000020E61000000100000001010000001840F850A2AD4EC0F9F5436CB00043C0
MONTE HERMOSO,MH,TRANSBA S.A,TRANSBA S.A,15,2012-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-61.316882,-38.97657]]}",0104000020E61000000100000001010000007558E1968FA84EC09B20EA3E007D43C0
CORONEL DORREGO,CG,TRANSBA S.A,TRANSBA S.A,35,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-61.253535,-38.717802]]}",0104000020E610000001000000010100000018B2BAD573A04EC06F8099EFE05B43C0
INDIO RICO,IR,TRANSBA S.A,TRANSBA S.A,0,2001-01-01,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-61.091088,-38.250525]]}",0104000020E61000000100000001010000006E8786C5A88B4EC04BEA0434112043C0
COLÓN,CN,TRANSBA S.A,TRANSBA S.A,30,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-61.076579,-33.921086]]}",0104000020E6100000010000000101000000BB473657CD894EC0D8666325E6F540C0
IMSA,IM,TRANSBA S.A,TRANSBA S.A,20,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-61.021263,-34.590244]]}",0104000020E6100000010000000101000000B3CEF8BEB8824EC082548A1D8D4B41C0
JUNÍN,JU,TRANSBA S.A,TRANSBA S.A,60,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.916584,-34.571473]]}",0104000020E6100000010000000101000000B804E09F52754EC004C6FA06264941C0
NUEVE DE JULIO,NJ,TRANSBA S.A,TRANSBA S.A,20,,66,13.2,"{""type"":""MultiPoint"",""coordinates"":[[-60.88993,-35.459336]]}",0104000020E610000001000000010100000059DDEA39E9714EC00FF0A485CBBA41C0
SANTO TOME,ST,TRANSENER S.A,TRANSENER S.A,900,1981-01-01,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-60.8625035073247,-31.6587136667616]]}",0104000020E61000000100000001010000009052D283666E4EC0602B7875A1A83FC0
LAPRIDA,LA,TRANSBA S.A,TRANSBA S.A,25,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.818347,-37.530763]]}",0104000020E6100000010000000101000000CEE33098BF684EC0A376BF0AF0C342C0
RIO CORONDA,CN,TRANSENER S.A,TRANSENER S.A,0,2008-07-31,500,500,"{""type"":""MultiPoint"",""coordinates"":[[-60.7939117512005,-32.5780435949335]]}",0104000020E610000001000000010100000080A877E69E654EC070F31F55FD4940C0
ROSARIO OESTE,RO,TRANSENER S.A,TRANSENER S.A,1200,1981-01-01,500,132 | 220,"{""type"":""MultiPoint"",""coordinates"":[[-60.7800065122245,-32.9684299681785]]}",0104000020E6100000010000000101000000E855DE40D7634EC080E56083F57B40C0
ROJAS,RF,TRANSBA S.A,TRANSBA S.A,30,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.702866,-34.197836]]}",0104000020E610000001000000010100000034BC5983F7594EC059FCA6B0521941C0
PERGAMINO,PO,TRANSBA S.A,TRANSBA S.A,90,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.538137,-33.90083]]}",0104000020E61000000100000001010000003FE257ACE1444EC0BAA0BE654EF340C0
LAS LOMITAS,LLO,TRANSNEA S.A,TRANSNEA S.A,30,2013-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.5289679215966,-24.7502677662535]]}",0104000020E6100000010000000101000000F9F18938B5434EC0454D5F8C11C038C0
CHACABUCO INDUSTRIAL,CD,TRANSBA S.A,TRANSBA S.A,15,2000-01-01,132,13.2,"{""type"":""MultiPoint"",""coordinates"":[[-60.509482,-34.608052]]}",0104000020E610000001000000010100000049F3C7B436414EC03A22DFA5D44D41C0
CHACABUCO,CB,TRANSBA S.A,TRANSBA S.A,30,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.466005,-34.655024]]}",0104000020E6100000010000000101000000E162450DA63B4EC02C0C91D3D75341C0
CHACO,CHA,LIMSA,TRANSENER S.A,300,2011-07-31,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-60.4397314145805,-26.8661647462971]]}",0104000020E6100000010000000101000000D552761E49384EC04D4B0AF9BCDD3AC0
BRAGADO,BG,TRANSBA S.A,TRANSBA S.A,365,,132 | 220,13.2 | 33 | 66 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-60.429668,-35.13717]]}",0104000020E6100000010000000101000000A1116C5CFF364EC004FF5BC98E9141C0
PARANA,PA,FUTURA,TRANSENER S.A,600,2015-01-01,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-60.4242475858323,-31.7164052208066]]}",0104000020E61000000100000001010000004847B1BE4D364EC0500C225566B73FC0
OLAVARRIA,OL,TRANSENER S.A,TRANSENER S.A,0,1984-01-01,500,500,"{""type"":""MultiPoint"",""coordinates"":[[-60.3448719765171,-36.8380831614814]]}",0104000020E61000000100000001010000005839D2C3242C4EC010F21C4F466B42C0
OLAVARRÍA 500,OL,TRANSBA S.A,TRANSBA S.A,600,,500,13.2 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-60.343173,-36.839964]]}",0104000020E610000001000000010100000063EFC517ED2B4EC09FE8BAF0836B42C0
LA PAMPITA,LT,TRANSBA S.A,TRANSBA S.A,0,,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-60.294265,-37.037109]]}",0104000020E6100000010000000101000000C1ADBB79AA254EC092B1DAFCBF8442C0
LOMA NEGRA,LN,TRANSBA S.A,TRANSBA S.A,0,,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-60.27335,-36.992846]]}",0104000020E6100000010000000101000000492EFF21FD224EC072FBE593157F42C0
OLAVARRÍA 132,OA,TRANSBA S.A,TRANSBA S.A,90,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.238069,-36.944388]]}",0104000020E61000000100000001010000008198840B791E4EC00F5EBBB4E17842C0
CALERA AVELLANEDA,CV,TRANSBA S.A,TRANSBA S.A,0,,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-60.236532,-36.981796]]}",0104000020E61000000100000001010000008E3A3AAE461E4EC0FCABC77DAB7D42C0
SALTO,SA,TRANSBA S.A,TRANSBA S.A,60,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.232961,-34.301996]]}",0104000020E61000000100000001010000002A1F82AAD11D4EC0ECC20FCEA72641C0
TRES ARROYOS,TY,TRANSBA S.A,TRANSBA S.A,60,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.232337,-38.38479]]}",0104000020E61000000100000001010000004C530438BD1D4EC0F7E978CC403143C0
SAN NICOLAS URBANA,NU,TRANSBA S.A,TRANSBA S.A,88,,,,"{""type"":""MultiPoint"",""coordinates"":[[-60.213687,-33.348374]]}",0104000020E6100000010000000101000000494A7A185A1B4EC06B63EC8497AC40C0
RAMALLO,RA,TRANSENER S.A,TRANSENER S.A,600,2000-11-20,500,132 | 220,"{""type"":""MultiPoint"",""coordinates"":[[-60.180318424784,-33.4105952317404]]}",0104000020E610000001000000010100000020A894AC14174EC0F81B72628EB440C0
SAN NICOLAS,SN,TRANSBA S.A,TRANSBA S.A,60,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.171383,-33.356188]]}",0104000020E6100000010000000101000000910BCEE0EF154EC0249D819197AD40C0
SIDERAR,SID,TRANSBA S.A,TRANSBA S.A,0,2010-01-01,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-60.165476,-33.364878]]}",0104000020E6100000010000000101000000EE224C512E154EC0D3838252B4AE40C0
CHILLAR,CL,TRANSBA S.A,TRANSBA S.A,0,,,,"{""type"":""MultiPoint"",""coordinates"":[[-60.117183,-37.301102]]}",0104000020E6100000010000000101000000D65240DAFF0E4EC04E61A5828AA642C0
ARRECIFES,AS,TRANSBA S.A,TRANSBA S.A,35,,66,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.105769,-34.071604]]}",0104000020E61000000100000001010000001FF7ADD6890D4EC0A321E3512A0941C0
GONZÁLES CHAVEZ,GC,TRANSBA S.A,TRANSBA S.A,20,,132 | 220,13.2 | 33 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-60.075878,-38.046026]]}",0104000020E6100000010000000101000000323ECC5EB6094EC00262122EE40543C0
RAMALLO INDUSTRIAL,RN,TRANSBA S.A,TRANSBA S.A,30,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.047051,-33.460624]]}",0104000020E61000000100000001010000003F1F65C405064EC059E02BBAF5BA40C0
CHIVILCOY,CI,TRANSBA S.A,TRANSBA S.A,60,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.993397,-34.918458]]}",0104000020E6100000010000000101000000E67805A227FF4DC0F25F2008907541C0
AZUL,AZ,TRANSBA S.A,TRANSBA S.A,55,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.878352,-36.76672]]}",0104000020E610000001000000010100000027309DD66DF04DC0359886E1236242C0
SALADILLO,SB,TRANSBA S.A,TRANSBA S.A,60,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.828048,-35.644222]]}",0104000020E610000001000000010100000055C2137AFDE94DC08EAED2DD75D241C0
IBARRETA,IBA,TRANSNEA S.A,TRANSNEA S.A,30,2004-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.8188284689831,-25.2237004031039]]}",0104000020E61000000100000001010000007EA80B5FCFE84DC0E56EFB6D443939C0
CAPITÁN SARMIENTO,CT,TRANSBA S.A,TRANSBA S.A,20,,66,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.7839,-34.171712]]}",0104000020E6100000010000000101000000CEAACFD556E44DC0562AA8A8FA1541C0
ROMANG,RM,TRANSENER S.A,TRANSENER S.A,150,1987-01-01,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-59.7638165626878,-29.4591547631017]]}",0104000020E61000000100000001010000009071BABDC4E14DC01053A32A8B753DC0
SAN PEDRO,SH,TRANSBA S.A,TRANSBA S.A,30,,132,33,"{""type"":""MultiPoint"",""coordinates"":[[-59.727761,-33.779637]]}",0104000020E6100000010000000101000000F226BF4527DD4DC033E02C25CBE340C0
PAPEL PRENSA,PS,TRANSBA S.A,TRANSBA S.A,15,,132,33,"{""type"":""MultiPoint"",""coordinates"":[[-59.629435,-33.725287]]}",0104000020E610000001000000010100000098FA795391D04DC0639B5434D6DC40C0
BARADERO,BD,TRANSBA S.A,TRANSBA S.A,60,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.523969,-33.806689]]}",0104000020E6100000010000000101000000158F8B6A11C34DC07F85CC9541E740C0
GUEMES,GUE,TRANSNEA S.A,TRANSNEA S.A,30,2015-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.4928257713848,-24.7588020740144]]}",0104000020E6100000010000000101000000A65C35EA14BF4DC055074CDA40C238C0
CACHARI,CC,TRANSBA S.A,TRANSBA S.A,0,,,,"{""type"":""MultiPoint"",""coordinates"":[[-59.483974,-36.388264]]}",0104000020E6100000010000000101000000A20E2BDCF2BD4DC0691B7FA2B23142C0
SAN ANTONIO DE ARECO,AA,TRANSBA S.A,TRANSBA S.A,40,,132,13.2 | 33 | 66,"{""type"":""MultiPoint"",""coordinates"":[[-59.462813,-34.248366]]}",0104000020E6100000010000000101000000F294D5743DBB4DC01BB80375CA1F41C0
MERCEDES,MD,TRANSBA S.A,TRANSBA S.A,60,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.431822,-34.666181]]}",0104000020E6100000010000000101000000BED87BF145B74DC0B91B446B455541C0
VILLA LIA,VL,TRANSENER S.A,TRANSENER S.A,0,1981-01-01,220,220,"{""type"":""MultiPoint"",""coordinates"":[[-59.411166908213,-34.1264204530345]]}",0104000020E610000001000000010100000070FC031EA1B44DC018AA9F8B2E1041C0
VILLA LIA,VL,TRANSBA S.A,TRANSBA S.A,150,,220,13.2 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-59.410672,-34.126917]]}",0104000020E610000001000000010100000003B16CE690B44DC03927F6D03E1041C0
BARKER,BK,TRANSBA S.A,TRANSBA S.A,61.5,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.401875,-37.635965]]}",0104000020E61000000100000001010000003D0AD7A370B34DC04833164D67D142C0
COLORADO,COL,TRANSNEA S.A,TRANSNEA S.A,22.5,2007-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.3480523620349,-26.3107749935861]]}",0104000020E6100000010000000101000000291ED4FA8CAC4DC0F3DD31F38E4F3AC0
GENERAL SAN  MARTIN,GSM,TRANSNEA S.A,TRANSNEA S.A,0,2008-01-01,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-59.3222859783221,-26.5581677754298]]}",0104000020E61000000100000001010000002E6DBCAA40A94DC0EB265515E48E3AC0
GOYA,GOY,TRANSNEA S.A,TRANSNEA S.A,75,1981-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.2275327987878,-29.138527438275]]}",0104000020E6100000010000000101000000D0C774CB1F9D4DC06EFDC08876233DC0
ATUCHA,AT1,TRANSENER S.A,TRANSENER S.A,150,1973-01-01,220,132,"{""type"":""MultiPoint"",""coordinates"":[[-59.2061226204769,-33.9685065104081]]}",0104000020E610000001000000010100000008F5DC39629A4DC038157605F8FB40C0
ATUCHA,AT2,TRANSENER S.A,TRANSENER S.A,0,2012-01-01,500,500,"{""type"":""MultiPoint"",""coordinates"":[[-59.2048786665549,-33.971081132681]]}",0104000020E61000000100000001010000002840D276399A4DC05050F5624CFC40C0
LAS FLORES,LF,TRANSBA S.A,TRANSBA S.A,30,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.144164,-36.028305]]}",0104000020E61000000100000001010000005AA148F773924DC01AA88C7F9F0342C0
TANDIL,TD,TRANSBA S.A,TRANSBA S.A,90,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.133678,-37.295333]]}",0104000020E6100000010000000101000000EC18575C1C914DC0FC36C478CDA542C0
LAS PALMAS,LS,TRANSBA S.A,TRANSBA S.A,30,2010-01-01,132,33,"{""type"":""MultiPoint"",""coordinates"":[[-59.127898,-34.081434]]}",0104000020E6100000010000000101000000A69C2FF65E904DC02864E76D6C0A41C0
LUJÁN,LJ,TRANSBA S.A,TRANSBA S.A,100,,132,13.2 | 33 | 66,"{""type"":""MultiPoint"",""coordinates"":[[-59.116032,-34.586827]]}",0104000020E61000000100000001010000000DA5F622DA8E4DC074B4AA251D4B41C0
RESISTENCIA,RS,TRANSENER S.A,TRANSENER S.A,600,1987-01-01,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-59.1072748716977,-27.2987480993948]]}",0104000020E6100000010000000101000000E0CFD82EBB8D4DC090A464C17A4C3BC0
PROTISA,PJ,TRANSBA S.A,TRANSBA S.A,30,,132,6.6 | 13.2,"{""type"":""MultiPoint"",""coordinates"":[[-59.095079,-34.059296]]}",0104000020E6100000010000000101000000A8C4758C2B8C4DC04E64E602970741C0
RAUCH,RU,TRANSBA S.A,TRANSBA S.A,0,2000-01-01,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-59.091411,-36.781104]]}",0104000020E610000001000000010100000051BF0B5BB38B4DC02C634337FB6342C0
EASTMAN,EA,TRANSBA S.A,TRANSBA S.A,0,,,,"{""type"":""MultiPoint"",""coordinates"":[[-59.084806,-34.053271]]}",0104000020E610000001000000010100000096404AECDA8A4DC0A1698995D10641C0
PIRANE,PIR,TRANSNEA S.A,TRANSNEA S.A,30,2004-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.0756859170508,-25.6788739742103]]}",0104000020E61000000100000001010000001C407D13B0894DC0B2564DAFCAAD39C0
ZÁRATE,ZA,TRANSBA S.A,TRANSBA S.A,90,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.049075,-34.104644]]}",0104000020E61000000100000001010000008E06F01648864DC07FDC7EF9640D41C0
LUJÁN II,LD,TRANSBA S.A,TRANSBA S.A,30,2008-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.035308,-34.558616]]}",0104000020E6100000010000000101000000C2A4F8F884844DC0DC82A5BA804741C0
BELLA VISTA,BVI,TRANSNEA S.A,TRANSNEA S.A,45,1981-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.0188708790934,-28.5071525740056]]}",0104000020E6100000010000000101000000CA46685C6A824DC0B26F47C0D4813CC0
CORCEMAR,CO,TRANSBA S.A,TRANSBA S.A,30,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.01795,-34.150403]]}",0104000020E61000000100000001010000004A7B832F4C824DC0321CCF67401341C0
MANUEL BELGRANO,MB,TRANSENER S.A,TRANSENER S.A,0,2008-07-01,500,500,"{""type"":""MultiPoint"",""coordinates"":[[-59.0030899938127,-34.1858233215732]]}",0104000020E6100000010000000101000000682FBF4065804DC0D87E000FC91741C0
CAMPANA 500,CA,TRANSBA S.A,TRANSBA S.A,600,,500,13.2 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-58.998682,-34.171576]]}",0104000020E61000000100000001010000004C8DD0CFD47F4DC0A663CE33F61541C0
CAMPANA,CA,TRANSENER S.A,TRANSENER S.A,0,1992-01-01,500,500,"{""type"":""MultiPoint"",""coordinates"":[[-58.9979402285594,-34.1731659098992]]}",0104000020E610000001000000010100000040836281BC7F4DC050E6EF4C2A1641C0
RESISTENCIA NORTE,RNO,TRANSNEA S.A,TRANSNEA S.A,30,2007-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-58.9870680783192,-27.4119942854772]]}",0104000020E61000000100000001010000003CA72D3F587E4DC067431E7578693BC0
PRAXAIR,PX,TRANSBA S.A,TRANSBA S.A,0,,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-58.984973,-34.157565]]}",0104000020E6100000010000000101000000B4386398137E4DC043FF04172B1441C0
