nombre,id,tension,fases,seccion,material,fecha_puesta_servicio,propiedad,concesion,geojson
C.COSTA - P.BANDERITA 500 1,,500,,1130.4 mm2,,1993-01-01,TRANSENER S.A.,TRANSENER S.A.,"{""type"":""MultiLineString"",""coordinates"":[[[-68.4725982892382,-38.5600710164281],[-68.4720279317571,-38.5602654727032],[-68.4697353284721,-38.561302625249],[-68.4680793031319,-38.5625687082821],[-68.4659975404871,-38.5641407604842],[-68.4634483169497,-38.5660465458827],[-68.4600248899725,-38.5685930221376],[-68.4573350907575,-38.5706189503149],[-68.4537014882295,-38.5734367946399],[-68.4511206047652,-38.5753356454621],[-68.4481693981805,-38.577551847345],[-68.4454441820519,-38.5795998549002],[-68.4423049179444,-38.5819829189757],[-68.4391578631305,-38.5842912198446],[-68.4360723025887,-38.5866278157407],[-68.43306077832,-38.588916354464],[-68.4299098597338,-38.5913340261307],[-68.4266871229838,-38.5936937799858],[-68.4238590160962,-38.5958664155702],[-68.420898812913,-38.5980882225923],[-68.4178219732687,-38.6003467740055],[-68.4148192620589,-38.6026158907079],[-68.4115133862442,-38.6050938885506],[-68.408462089194,-38.6074147496298],[-68.4051981365725,-38.6097907713874],[-68.4022580398903,-38.612138252582],[-68.3994058718521,-38.6142893413144],[-68.3965712899925,-38.6164216413022],[-68.3936745700217,-38.6185699346],[-68.3905612618971,-38.6207786994775],[-68.3872022677352,-38.623228992765],[-68.3841808275077,-38.6255368973038],[-68.3812731737186,-38.6277391760131],[-68.3783032315956,-38.6298895898534],[-68.3754464904662,-38.6320708046491],[-68.372425181613,-38.6342554286989],[-68.3695967405272,-38.6364147267214],[-68.3666744362837,-38.6386016686852],[-68.3637263140598,-38.6408309767184],[-68.3607749724315,-38.643007452705],[-68.3579024784222,-38.6451607699144],[-68.354979107863,-38.6473359802651],[-68.3520292102114,-38.6495039697633],[-68.3490985739733,-38.6516667235275],[-68.3462216483361,-38.6538401390628],[-68.3433181512966,-38.6560261910386],[-68.3403958230462,-38.6581879162961],[-68.3374888890424,-38.6603720537347],[-68.3345227746431,-38.662512680791],[-68.3316562316735,-38.6647102019099],[-68.3287121142252,-38.6669123992847],[-68.3258145004014,-38.6690688473335],[-68.3228603015647,-38.6712375748348],[-68.3199219836248,-38.6734357933472],[-68.3168639921133,-38.6756961587066],[-68.3139254090107,-38.6779039675785],[-68.3111748217058,-38.6799501682983],[-68.3082818032979,-38.6821416934052],[-68.3053564645591,-38.684300398096],[-68.3023787021795,-38.6864539158721],[-68.2994121345905,-38.6886997016359],[-68.2965147231703,-38.6909590039491],[-68.2936227453287,-38.6930702343844],[-68.2907029508736,-38.6951900550199],[-68.2877989890062,-38.6973357209198],[-68.2819017674315,-38.7016993075906],[-68.2790170032783,-38.7038296694854],[-68.2760777594661,-38.7059837136188],[-68.2731740898657,-38.7081643988906],[-68.2702061187003,-38.7103434050759],[-68.2674014785352,-38.7124397445246],[-68.2645420560208,-38.7145577103643],[-68.261635685883,-38.7167312574801],[-68.2585365817975,-38.7189758419944],[-68.257931188363,-38.7193983097926]]]}"
PEDRO VARGAS - SAN RAFAEL 132 1,,132,,120 mm2,,1993-01-01,DISTRO CUYO S.A.,DISTRO CUYO S.A.,"{""type"":""MultiLineString"",""coordinates"":[[[-68.4669388420375,-34.6235866125519],[-68.466280629363,-34.623521575094],[-68.4655238382921,-34.6240545119821],[-68.4641439646696,-34.6245192006406],[-68.4626820941969,-34.62496427625],[-68.4620410132571,-34.6248707902893],[-68.4601688721167,-34.6246714961035],[-68.4582570199552,-34.6243664920156],[-68.4535987364956,-34.6168352428126],[-68.4529767311948,-34.6154637237589],[-68.4500670410556,-34.614704031643],[-68.4485207324837,-34.6154085306831],[-68.4470001459132,-34.6161138284217],[-68.4358990501911,-34.6211381530897],[-68.4327944556934,-34.6227200260394],[-68.430001973852,-34.6244592213582],[-68.4272538630025,-34.6261598090503],[-68.4244197439006,-34.6278732073156],[-68.421784908047,-34.6295989313585],[-68.4178952440577,-34.6321664400561],[-68.4165634326481,-34.633030567842],[-68.4150806072803,-34.6336778127181],[-68.4136406562207,-34.6341805890069],[-68.4122013792718,-34.6347634083249],[-68.410765251707,-34.6353242671184],[-68.4079619514727,-34.6374037397971],[-68.4052020282488,-34.6392269543008],[-68.401032751972,-34.6414700551233],[-68.3968279167646,-34.6437339326329],[-68.3954298633423,-34.6444484772851],[-68.3942307333487,-34.6444617069766],[-68.3930089029833,-34.6444672800691],[-68.3867259556923,-34.6432026232166],[-68.3850532300084,-34.6435896415599],[-68.3774069718789,-34.6465813417359],[-68.3757617586941,-34.6471564804971],[-68.3750524495789,-34.6473038038346],[-68.373840329039,-34.6477532852992],[-68.372752418307,-34.6482020922267],[-68.3715127072579,-34.6486989101277],[-68.3701489197289,-34.6492021606536],[-68.3686828378196,-34.6497854071184],[-68.3671940311411,-34.6503514308965],[-68.3612937463636,-34.6526669895386],[-68.3595518325653,-34.6521099827552],[-68.3552241372165,-34.6509368794371],[-68.3507207685662,-34.64967154001],[-68.3490053504411,-34.649208826108],[-68.3457874692081,-34.6482088040451],[-68.3447376413053,-34.6462297870262],[-68.3395556025519,-34.6357161840778],[-68.33717036685,-34.6308270156115],[-68.336678220153,-34.629841449406],[-68.3364689050391,-34.6299122618307]]]}"
MEDANITO - SIERRAS BLANCAS 132 1,,132,,300 mm2,,1993-01-01,DISTROCOMAHUE-RIO NEGRO,DISTROCOMAHUE-RIO NEGRO,"{""type"":""MultiLineString"",""coordinates"":[[[-67.940957622612,-37.9900374788095],[-67.9410948494718,-37.9904578441723],[-67.9408478831543,-37.9919262723973],[-67.9405190117567,-37.9940861753002],[-67.9397924497219,-37.9984619122303],[-67.9439586930229,-37.9997246159134],[-67.9547354092513,-38.0030429023568],[-67.9567827181942,-38.0036626238539],[-67.9577665195784,-38.0048704874882],[-67.9620002937755,-38.0101389523365],[-67.9634751602663,-38.0119580680621],[-67.9690821372512,-38.0189042815178],[-67.9825443210967,-38.0355961245656],[-67.9989337493887,-38.055872298053],[-68.0077970433681,-38.0668573053237],[-68.0126825459059,-38.0722923660552],[-68.0176125943457,-38.077723383294],[-68.0285469932406,-38.0898583239399],[-68.0423074956432,-38.1059591123639],[-68.0526449061923,-38.118057313287],[-68.0556597363437,-38.1215774162144],[-68.063027228976,-38.1301971711789],[-68.0739697444959,-38.1429954516378],[-68.0930576472264,-38.1592152964005],[-68.1229073311356,-38.1845926207675],[-68.1978265726878,-38.248109407705],[-68.2694617204506,-38.3087196826821],[-68.29768567399,-38.3325626599205],[-68.3161879719993,-38.3570214105844],[-68.334410759253,-38.3810923453271],[-68.3511479446285,-38.4032127478413],[-68.3787453588447,-38.4396169096907],[-68.4123438880699,-38.4839020394111],[-68.4253563335972,-38.4951001244644],[-68.4327688200409,-38.5015379724056],[-68.4354550312134,-38.5038558556756],[-68.4358169739824,-38.5036458639801]]]}"
PAMPA D.CASTILLO VALLE HERMOSO 132 1,,132,,240 mm2,,1999-02-22,TRANSP.INDEP.LAGO MUSTERS-CRIV,TRANSP.INDEP.LAGO MUSTERS-CRIV,"{""type"":""MultiLineString"",""coordinates"":[[[-68.0376349689667,-45.8139228855499],[-68.0382793465194,-45.8139629065995],[-68.042624110018,-45.8139940340626],[-68.0507458191718,-45.8140518421621],[-68.0584400699491,-45.8141096502017],[-68.067384795977,-45.8141807984757],[-68.0757744641131,-45.814243053141],[-68.0854592673303,-45.814318647998],[-68.0935171767264,-45.8143809025091],[-68.1019451247171,-45.8144387102071],[-68.1096840353247,-45.8147722149854],[-68.1177228047935,-45.8151057177664],[-68.1214550906183,-45.8152613517141],[-68.1269865296099,-45.8151902048206],[-68.1356505367041,-45.8150879310019],[-68.1441997042344,-45.8149856569954],[-68.1517791154479,-45.8148922762167],[-68.1611576798281,-45.8147766617023],[-68.1650941248775,-45.8147321945175],[-68.1702938051291,-45.8143853492573],[-68.1770565794442,-45.8139406726866],[-68.1850060292522,-45.8134203965916],[-68.1929235791814,-45.812900115636],[-68.2009176888198,-45.8123753829117],[-68.2084269202998,-45.8118817738871],[-68.214826035996,-45.811468206201],[-68.2194196185496,-45.8111613636753],[-68.2240387210062,-45.8106277204736],[-68.2287535230994,-45.8095070531072],[-68.2340871828422,-45.8082440517488],[-68.2363712141675,-45.8076080930413],[-68.2433828075375,-45.8056423565856],[-68.2510387784601,-45.8034986463597],[-68.2533738495916,-45.8028492904699],[-68.2568828362644,-45.8000071574866],[-68.2605194224527,-45.7970625726021],[-68.2642453283017,-45.7940511065792],[-68.2728008758078,-45.7931747705363],[-68.2769861399122,-45.7927432700613],[-68.2805334064397,-45.787467128127],[-68.2860010456736,-45.7840013297473],[-68.2917621637929,-45.7803350902802],[-68.2954816896662,-45.7779634744472],[-68.3081906013978,-45.7766241121194],[-68.3162931706243,-45.7754137636742],[-68.3236110028312,-45.7743235376232],[-68.3308395153773,-45.7732332902586],[-68.3373215707585,-45.7722720749032],[-68.3465597756719,-45.7708925239156],[-68.3587072495358,-45.7727971853449],[-68.4336464449171,-45.7487883554197]]]}"
LOS HERCULES - S.CRUZ NORTE 132 1,,132,,240 mm2,,2008-04-01,TRANSPA S.A.,TRANSPA S.A.,"{""type"":""MultiLineString"",""coordinates"":[[[-67.9790379570438,-46.7761052172127],[-67.9790857,-46.7768829],[-67.9815858,-46.7768608],[-67.9842358,-46.7768314],[-67.987389,-46.7767914],[-67.9906409,-46.7767506],[-67.9937738,-46.7767212],[-67.9971957,-46.7766184],[-68.0003822,-46.7766404],[-68.0037081,-46.776611],[-68.0070126,-46.7766184],[-68.0104029,-46.7765743],[-68.0127096,-46.7758689],[-68.015703,-46.7749651],[-68.0187119,-46.7740874],[-68.0216575,-46.7732237],[-68.0240929,-46.7725036],[-68.0268824,-46.7716806],[-68.0295324,-46.7707547],[-68.0337096,-46.7694987],[-68.0381155,-46.7681684],[-68.0410552,-46.7672498],[-68.0437696,-46.7664708],[-68.0468166,-46.7656624],[-68.0500567,-46.764854],[-68.0521595,-46.7638912],[-68.0553186,-46.762888],[-68.0582964,-46.7620245],[-68.0612361,-46.7611351],[-68.0642442,-46.7602496],[-68.0671587,-46.7593707],[-68.0701091,-46.758463],[-68.0730419,-46.7575595],[-68.0757096,-46.7567761],[-68.0784492,-46.7559461],[-68.0808256,-46.7554205],[-68.0840995,-46.7542071],[-68.0859594,-46.7533146],[-68.087827,-46.7523843],[-68.0893674,-46.7516638],[-68.0920228,-46.7503773],[-68.0946031,-46.7491386],[-68.0971887,-46.7478779],[-68.0997138,-46.7466617],[-68.1022189,-46.7454597],[-68.1047365,-46.7442939],[-68.1068715,-46.7432131],[-68.1094196,-46.7419963],[-68.11195,-46.7408279],[-68.1146805,-46.7394382],[-68.1173858,-46.7381767],[-68.1192579,-46.7372171],[-68.1219278,-46.7359677],[-68.1245671,-46.734725],[-68.1265873,-46.7337052],[-68.1293431,-46.7323674],[-68.1312099,-46.7314409],[-68.13342,-46.7304775],[-68.1352423,-46.7297024],[-68.1370034,-46.7287567],[-68.1392871,-46.7276139],[-68.1412842,-46.7267416],[-68.1434622,-46.7259768],[-68.1465076,-46.7251281],[-68.1494703,-46.7242484],[-68.1526123,-46.7234659],[-68.1555214,-46.7225715],[-68.1585577,-46.7217036],[-68.1615494,-46.7208328],[-68.1645336,-46.7199972],[-68.1675307,-46.7191411],[-68.1705203,-46.7182432],[-68.1727825,-46.717578],[-68.1747298,-46.717019],[-68.1766771,-46.7164563],[-68.179767,-46.7156104],[-68.1827727,-46.7147968],[-68.1857,-46.7139038],[-68.1888023,-46.7131049],[-68.1917634,-46.7122515],[-68.1947353,-46.7113908],[-68.1977716,-46.7105596],[-68.2007633,-46.7096959],[-68.2036939,-46.7088528],[-68.2067607,-46.7080185],[-68.2097112,-46.7071283],[-68.2126616,-46.7062896],[-68.2156657,-46.7054583],[-68.2186697,-46.7046195],[-68.2215987,-46.7037513],[-68.2245937,-46.7029376],[-68.2276299,-46.7020767],[-68.2306538,-46.7012644],[-68.2335737,-46.7003771],[-68.2365869,-46.69955],[-68.2394515,-46.6987112],[-68.2423177,-46.6979047],[-68.24517,-46.6971071],[-68.2481113,-46.6962564],[-68.2510939,-46.6954323],[-68.2540856,-46.694561],[-68.2569304,-46.6937692],[-68.259847,-46.6929273],[-68.2626918,-46.6921429],[-68.2656744,-46.6912524],[-68.2686677,-46.6904576],[-68.2715736,-46.6895936],[-68.2744811,-46.6887841],[-68.2774332,-46.6879554],[-68.2803407,-46.6871016],[-68.2832466,-46.6862965],[-68.2861648,-46.685428],[-68.2891045,-46.6846478],[-68.2920335,-46.6837867],[-68.2948997,-46.6827518],[-68.2977305,-46.6816595],[-68.3004986,-46.6806217],[-68.3033004,-46.6795058],[-68.3061006,-46.6785562],[-68.3088778,-46.6773976],[-68.3116995,-46.6763597],[-68.3145641,-46.6752776],[-68.3173766,-46.6741689],[-68.3201967,-46.6731722],[-68.3229004,-46.6721194],[-68.3257451,-46.6710623],[-68.3285561,-46.6700021],[-68.3314405,-46.6689096],[-68.3342944,-46.6678126],[-68.3370732,-46.6667303],[-68.3399485,-46.6656554],[-68.3428024,-46.6646025],[-68.34569,-46.6636114],[-68.3484581,-46.6624407],[-68.3513103,-46.6613701],[-68.3541642,-46.6602656],[-68.3569537,-46.6592053],[-68.3599149,-46.6581817],[-68.36264,-46.6570477],[-68.365526,-46.6559799],[-68.3683922,-46.6549077],[-68.370633,-46.6540431],[-68.3731328,-46.6531152],[-68.3753231,-46.6522712],[-68.3772207,-46.6515225],[-68.380033,-46.6504669],[-68.3829727,-46.6493769],[-68.3857821,-46.6482987],[-68.3885946,-46.6471895],[-68.3914898,-46.6460965],[-68.3942149,-46.6450653],[-68.3970366,-46.6439899],[-68.399869,-46.6429293],[-68.4025459,-46.6419091],[-68.4054926,-46.6408036],[-68.4069092206917,-46.6402428387594],[-68.406533739143,-46.6399949564591]]]}"
PI N4-SR - SAN RAFAEL 132 1,,132,,1000 mm2,,,DISTRO CUYO S.A.,DISTRO CUYO S.A.,"{""type"":""MultiLineString"",""coordinates"":[[[-68.3365153045551,-34.6300661910407],[-68.3367802799675,-34.6299803770642],[-68.3454842693066,-34.6476007153415],[-68.3457414074365,-34.647863692769],[-68.3457916796364,-34.647975722713],[-68.345965811783,-34.6483124675481],[-68.3474300103362,-34.6489711282675],[-68.3477485802009,-34.6496411459083],[-68.3478506795581,-34.6496897403141]]]}"
P.SECCIONAMIENTO - S.PICADA 132 1,,132,,150 mm2,,1993-01-01,DISTROCOMAHUE-NEUQUEN,DISTROCOMAHUE-NEUQUEN,"{""type"":""MultiLineString"",""coordinates"":[[[-68.3118819021485,-37.7857270887896],[-68.3055381470167,-37.7800239994994],[-68.3021624994968,-37.7769750377812],[-68.2971124977546,-37.7724281791214],[-68.2934083280697,-37.7690597626296],[-68.2897057270559,-37.7656956152172],[-68.2860568554153,-37.7624091426033],[-68.2825054585358,-37.7591969367093],[-68.2772236551486,-37.7544199037859],[-68.2717802892138,-37.7494733657454],[-68.2664472452022,-37.7446602944697],[-68.2592355373068,-37.7380534965803],[-68.253863512978,-37.7329551510798],[-68.248716861722,-37.7278721248573],[-68.2451378855058,-37.7244457886499],[-68.2379827109097,-37.7176451316323],[-68.2326870736595,-37.7126153699607],[-68.2255403583643,-37.7058382535805],[-68.2185088396096,-37.6991471542821],[-68.2116168361657,-37.6926057732519],[-68.199625166828,-37.6811859380484],[-68.1946995975732,-37.6760836475877],[-68.1886836411016,-37.6695433647969],[-68.1860123795241,-37.6666388582988],[-68.1822430754013,-37.664181587621],[-68.180047675592,-37.6627439163132]]]}"
P.SECCIONAMIENTO - MEDANITO 132 1,,132,,150 mm2,,1993-01-01,DISTROCOMAHUE-NEUQUEN,DISTROCOMAHUE-NEUQUEN,"{""type"":""MultiLineString"",""coordinates"":[[[-68.3118632505911,-37.7858196011325],[-68.3050892382876,-37.7895500147707],[-68.2954039407398,-37.7946775845575],[-68.2835627279504,-37.8009287964287],[-68.2695565445982,-37.8083178111601],[-68.2579497660882,-37.8144520544791],[-68.2463090443922,-37.8206000402562],[-68.2164395348501,-37.8373709753957],[-68.2098217470786,-37.8411421939334],[-68.198749682402,-37.8474952790627],[-68.1538564233207,-37.8731969948456],[-68.1050250499097,-37.9010205728776],[-68.0055036206692,-37.9571197347977],[-67.9797672195059,-37.9711199558278],[-67.9691521915744,-37.9759135988008],[-67.9618540551406,-37.9791042060023],[-67.9570596327638,-37.9812649742051],[-67.9517413137403,-37.9835961694718],[-67.9461053734071,-37.9861369967241],[-67.9442951257611,-37.9869199096908],[-67.9420197632003,-37.9880258422612],[-67.9392670727145,-37.9895890192477],[-67.939351898052,-37.9907949319379],[-67.9400612838363,-37.9906654618991],[-67.9399724738686,-37.9902731859195]]]}"
C.COSTA PUELCHES 500 2,,500,,1130.4 mm2,,1993-01-01,TRANSENER S.A.,TRANSENER S.A.,"{""type"":""MultiLineString"",""coordinates"":[[[-68.2571732319325,-38.7193015355727],[-68.2380518321568,-38.7000211340086],[-68.2343674225303,-38.6954618336896],[-68.2342628823789,-38.6714766945614],[-68.2344491888613,-38.6551616067803],[-68.1067037983264,-38.5834352707658],[-67.1423264167176,-38.3629659944142],[-67.1384335261623,-38.3453555788196],[-66.0562486559499,-38.1300220937622],[-65.9462546414997,-38.1678288181642],[-65.8283435816819,-38.1519150531045],[-65.8234818071159,-38.1512229227278]]]}"
C.COSTA PUELCHES 500 1,,500,,1130.4 mm2,,1993-01-01,TRANSENER S.A.,TRANSENER S.A.,"{""type"":""MultiLineString"",""coordinates"":[[[-65.8231791641861,-38.1517209784612],[-65.8282580360813,-38.1524709543982],[-65.946371913038,-38.1685132976716],[-66.0563520726413,-38.1307114562758],[-67.1377271809618,-38.3459148387777],[-67.1415390763997,-38.3634579786445],[-67.4491977490387,-38.4347863104799],[-67.6722440705741,-38.4859219388541],[-68.1064791767582,-38.5841586622054],[-68.2324752994873,-38.6547796715729],[-68.2334918333685,-38.6554840514425],[-68.2335132600857,-38.6714524047098],[-68.2334930747153,-38.6758127172674],[-68.2336481620548,-38.6964959338263],[-68.2373822542468,-38.7004309102258],[-68.2537319198025,-38.7169785061682],[-68.2568481011618,-38.7201701368856]]]}"
N.P.MADRYN - SANTA CRUZ NORTE 500 1,,500,,1586.24 mm2,,2005-11-01,INTESAR TI P.MADRYN-SCRUZ NORT,INTESAR TI P.MADRYN-SCRUZ NORT,"{""type"":""MultiLineString"",""coordinates"":[[[-65.1060076473502,-42.7062445217068],[-65.1060872091854,-42.7066549843324],[-65.28068091174,-42.752325279383],[-65.8456048132984,-43.1903331559928],[-65.9795836542531,-43.3841578409027],[-65.9494207631588,-43.4476586018535],[-65.9444564130386,-43.4516851117225],[-65.9167071522287,-43.4742787113835],[-65.9294178529098,-43.5650599325997],[-65.9331294983721,-43.5918062485885],[-65.934329682246,-43.596598106446],[-65.9368336695696,-43.6060419197167],[-66.0836364415591,-44.157349226119],[-66.0884877187023,-44.175269157924],[-66.1421713916327,-44.2203628370336],[-66.1466893905911,-44.224006409222],[-66.3312140867813,-44.3781540427005],[-66.3996659625533,-44.4357239995351],[-66.5221723711729,-44.53713368505],[-66.5732582279513,-44.5793055450023],[-66.7120105717975,-44.6933664204506],[-66.8707267372564,-44.8231069491248],[-67.0025029200793,-44.9302296957594],[-67.0998501052001,-45.0086133019811],[-67.3058482287186,-45.1553687791058],[-67.4463729010013,-45.2608712008237],[-67.6662838410373,-45.429097954668],[-67.8079217194402,-45.536696251063],[-67.9489183844302,-45.6423540425934],[-67.9567709993972,-45.6481857113646],[-67.9648531969767,-45.65419713861],[-67.9860861005707,-45.6699230838596],[-68.0125806484782,-45.6895685092408],[-68.0165546840694,-45.6924939015949],[-68.0206933278602,-45.6957858275392],[-68.0247714348778,-45.6992153769053],[-68.032773178987,-45.7062012403672],[-68.0855063026873,-45.7513414033567],[-68.0882094201032,-45.9535998942598],[-68.0896375680763,-45.9575425629465],[-68.0919002619751,-45.9633110795178],[-68.1018262959137,-45.9894313356659],[-68.1041298956013,-46.0005902382813],[-68.104768323732,-46.0065004192498],[-68.1168855719219,-46.1215831226381],[-68.1201273433931,-46.1540528262123],[-68.1250064368106,-46.199669984951],[-68.1600825359772,-46.2523228138768],[-68.1881339330733,-46.2942494102731],[-68.2292350845056,-46.3560271689984],[-68.0964230771673,-46.5412187089509],[-68.0338797752643,-46.6279516536164],[-67.9898801523933,-46.6892104632409],[-67.9883162066379,-46.6963087205145],[-67.9814311111515,-46.728697940923],[-67.9806958968846,-46.7331092379258],[-67.9802438516743,-46.7371380983704],[-67.9799900814795,-46.7415664950511],[-67.9799023963637,-46.7459891573519],[-67.9799543511327,-46.749849143516],[-67.9800977929846,-46.7646944049367],[-67.9801571226842,-46.7682887412159],[-67.9801709385875,-46.7717003490551],[-67.9800040099651,-46.7725985614866]]]}"
PI RIO NEUQUEN - ENTRE LOMAS 132 1,,132,,150 mm2,,1997-01-01,DISTROCOMAHUE-RIO NEGRO,DISTROCOMAHUE-RIO NEGRO,"{""type"":""MultiLineString"",""coordinates"":[[[-67.9729465067926,-38.2144531641309],[-67.9776326414341,-38.2320176348998],[-67.9883463694798,-38.272357073288],[-68.010026185289,-38.3539893709873],[-68.0170571388708,-38.3804417965363],[-68.0224796509293,-38.4008897196562],[-68.0276019917421,-38.4176640000993],[-68.0363304937525,-38.4462228419405],[-68.0414478838967,-38.4628541395407],[-68.0448282478059,-38.4738985245435],[-68.0469659547209,-38.4808221100601],[-68.0510468360961,-38.4941862512194],[-68.0530784582965,-38.5008616228583],[-68.0571172976706,-38.5139936809637],[-68.061998915566,-38.5223612594648],[-68.0668556405415,-38.5307222641749],[-68.0703763718499,-38.536749789275],[-68.0764128849387,-38.5470829015521],[-68.0826380998525,-38.5577432662967],[-68.0887790001598,-38.5682444873502],[-68.0947835103811,-38.5784798628585],[-68.0995551467248,-38.5866697639237],[-68.1029689672318,-38.5925027008297],[-68.1043437869324,-38.5948589238452],[-68.1055465634227,-38.596904336813],[-68.1109804173171,-38.6057732404745],[-68.1257500052189,-38.6298080916711],[-68.1332098600098,-38.6419698113923],[-68.1367927299735,-38.6481663094734],[-68.1388798278445,-38.6523593335044],[-68.1451904764566,-38.665016355786],[-68.1495910073903,-38.6737446241119],[-68.154115640183,-38.68272203478],[-68.158908473731,-38.6924341196384],[-68.1663870816653,-38.706996754294],[-68.1667188354118,-38.7085369520851],[-68.1693521686941,-38.7098586045844],[-68.1720257511807,-38.7112074407445],[-68.1747433958269,-38.7125607787523],[-68.1775584783796,-38.7131025285248],[-68.1857582477532,-38.7146979914898],[-68.1885101077341,-38.7152193514766],[-68.1935597866849,-38.7161957988197],[-68.1963656857887,-38.7167287460563],[-68.1979617203864,-38.7209139555187],[-68.1996641368549,-38.7254613726066],[-68.202152445064,-38.7321893396191],[-68.2038059856165,-38.7366419987611],[-68.205512340337,-38.7412083013892],[-68.2029524562654,-38.7448816054341],[-68.1988499152638,-38.7508208601226]]]}"
PI RIO NEUQUEN - RIO NEUQUEN 132 1,,132,,150 mm2,,1997-01-01,DISTROCOMAHUE-RIO NEGRO,DISTROCOMAHUE-RIO NEGRO,"{""type"":""MultiLineString"",""coordinates"":[[[-68.1988330805908,-38.7508375469703],[-68.1991703295642,-38.751114950904],[-68.2008090726326,-38.7525323330184],[-68.2012137133173,-38.7525427353418]]]}"
PI RIO NEUQUEN CENTENARIO 132 1,,132,,150 mm2,,1997-01-01,DISTROCOMAHUE-RIO NEGRO,DISTROCOMAHUE-RIO NEGRO,"{""type"":""MultiLineString"",""coordinates"":[[[-68.1988376933096,-38.7508354162611],[-68.1946875887109,-38.7566496532238],[-68.193236482802,-38.7586981826154],[-68.187588225729,-38.7667180068538],[-68.1835734186546,-38.7724136613823],[-68.1792860432673,-38.7785155055189],[-68.172369548334,-38.7883636696764],[-68.168169019568,-38.7943513584095],[-68.1653856989392,-38.7982727579793],[-68.1625900141257,-38.8022580627191],[-68.1598434330576,-38.8061988844405],[-68.1543057693824,-38.8140461592885],[-68.1487830110808,-38.8219150510423],[-68.1459972283944,-38.8258309776652],[-68.1431866271231,-38.8298413467787],[-68.1404575859346,-38.8336882876096],[-68.1378296115354,-38.8374018616709],[-68.1382459983936,-38.8378573167122]]]}"
NEUQUEN NORTE - CNIA.VALENTINA 132 1,,132,,300 mm2,,1993-01-01,DISTROCOMAHUE-NEUQUEN,DISTROCOMAHUE-NEUQUEN,"{""type"":""MultiLineString"",""coordinates"":[[[-68.1917733733394,-38.9242792052012],[-68.1918514019616,-38.9242819870788],[-68.1979446602734,-38.924311086606],[-68.1979820662445,-38.9235150849838],[-68.1979446602734,-38.9230323441657]]]}"
NEUQUEN NORTE - CNIA.VALENTINA 132 1,,132,,300 mm2,,1993-01-01,DISTROCOMAHUE-NEUQUEN,DISTROCOMAHUE-NEUQUEN,"{""type"":""MultiLineString"",""coordinates"":[[[-68.0706258318244,-38.9305721855294],[-68.070239519077,-38.9302154976983],[-68.0728570587201,-38.9296902926664],[-68.0792954242537,-38.9298383638325],[-68.0886540379078,-38.9299450133926],[-68.0943432306075,-38.9300049441537],[-68.1006169769896,-38.9300894103354],[-68.1064962039068,-38.9301043569722],[-68.1108663890374,-38.9301806937639],[-68.1134875590249,-38.930227651574],[-68.119254113687,-38.9303128237048],[-68.1252535499921,-38.9303742695593],[-68.1288141675475,-38.930404329519],[-68.1380628163708,-38.9305289158627],[-68.1445402474844,-38.9306227287692],[-68.1501355915112,-38.928374923373],[-68.1587230734961,-38.9249246574084],[-68.1611328281484,-38.9247832071892],[-68.1634945509223,-38.9246277914665],[-68.1717979262555,-38.924068162233],[-68.1740272082598,-38.9238786452139],[-68.1774902103986,-38.92395405336],[-68.1827848960307,-38.9240264715635],[-68.1888527160298,-38.9241750778799],[-68.1917733733394,-38.9242792052012]]]}"
G.NEUQUEN CENTENARIO 132 1,,132,,300 mm2,,1993-01-01,EPEN PRESTADOR FTT,EPEN PRESTADOR FTT,"{""type"":""MultiLineString"",""coordinates"":[[[-68.1052265178175,-38.9285180214545],[-68.1052369527888,-38.9282210537353],[-68.1063040628746,-38.9264175500874],[-68.1115971571779,-38.9175819073098],[-68.1129809595445,-38.9137783070695],[-68.1177395456679,-38.9007805002391],[-68.1184098716225,-38.89890936767],[-68.1076521389851,-38.8900809606808],[-68.104250967181,-38.8872592575427],[-68.1098407905994,-38.8793449992115],[-68.1255291219155,-38.8570150909773],[-68.129539222676,-38.8513674571507],[-68.132069969953,-38.8477361259908],[-68.1357491941762,-38.8425178841493],[-68.1385563940616,-38.8388335981945],[-68.1383015473019,-38.8384523616444]]]}"
